run_id,step,algo,opt,pivot,scheme,cutoff,depth,tail,run_threshold,iterative,reuse_buffer,fitness_ms,comparisons,swaps,n,trials_per_dist,dist_mask,pop_idx,temp
run155555444132958,0,QS,GA,Median3,Hoare,16,64,1,,,,0.130094,66048,14465,5000,1,31,0,0.000000
run155555444132958,0,QS,GA,First,Hoare,14,64,1,,,,0.558111,4114452,17294,5000,1,31,1,0.000000
run155555444132958,0,QS,GA,Median3,Hoare,16,64,0,,,,0.124640,58653,13326,5000,1,31,2,0.000000
run155555444132958,0,QS,GA,Median3,Lomuto,16,64,1,,,,0.218273,170055,32879,5000,1,31,3,0.000000
run155555444132958,0,QS,GA,Median3,Hoare,16,61,1,,,,0.124375,66048,14465,5000,1,31,4,0.000000
run155555444132958,0,QS,GA,Median3,Hoare,13,64,1,,,,0.122925,67092,14536,5000,1,31,5,0.000000
run155555444132958,0,QS,GA,Median3,Hoare,13,64,1,,,,0.191548,67092,14536,5000,1,31,6,0.000000
run155555444132958,0,QS,GA,Median3,Lomuto,14,62,0,,,,0.295637,167929,32280,5000,1,31,7,0.000000
run155555444132958,0,QS,GA,Last,Hoare,16,64,0,,,,0.761057,2862189,2653977,5000,1,31,8,0.000000
run155555444132958,0,QS,GA,Median3,Hoare,16,64,1,,,,0.145428,66048,14465,5000,1,31,9,0.000000
run155555444132958,0,QS,GA,Median3,Hoare,16,64,1,,,,0.148250,66048,14465,5000,1,31,10,0.000000
